"Tset","RHset","kWh_cool","kWh_heat","LM","PI","EMC","LIM","mould_margin","dp"
18,51,28589.6909,108.0079,1.2919,52.8087,9.4825,76.3373,25.3373,7.7108
18.5,51,27555.2414,150.1067,1.2036,49.5371,9.4706,76.1405,25.1405,8.1722
19,51,26518.9239,206.4412,1.1215,46.4784,9.4583,75.9555,24.9555,8.6334
19.5,51,25481.3771,278.0598,1.0454,43.618,9.4457,75.7817,24.7817,9.0946
20,51,24445.5473,368.3277,0.9746,40.9425,9.4329,75.6188,24.6188,9.5557
20.5,51,23412.9136,479.1526,0.9088,38.4394,9.4198,75.4662,24.4662,10.0168
21,51,22385.4588,612.9551,0.8477,36.0971,9.4065,75.3236,24.3236,10.4778
21.5,51,21366.856,773.8566,0.7909,33.9047,9.3929,75.1907,24.1907,10.9387
22,51,20361.3197,966.5296,0.738,31.8523,9.379,75.0671,24.0671,11.3995
22.5,51,19371.9811,1194.5737,0.6889,29.9304,9.3649,74.9524,23.9524,11.8603
23,51,18401.8387,1461.4665,0.6432,28.1304,9.3505,74.8465,23.8465,12.321
23.5,51,17453.0907,1769.896,0.6006,26.4442,9.3359,74.749,23.749,12.7816
24,51,16526.2133,2120.8393,0.561,24.8642,9.3211,74.6597,23.6597,13.2422
24.5,51,15620.2117,2513.8138,0.5241,23.3835,9.306,74.5784,23.5784,13.7026
25,51,14732.4183,2946.6759,0.4898,21.9955,9.2906,74.5048,23.5048,14.1631
25.5,51,13867.0556,3424.1834,0.4578,20.6941,9.2751,74.4387,23.4387,14.6234
26,51,13021.4443,3944.2051,0.428,19.4737,9.2593,74.3801,23.3801,15.0837
26.5,51,12196.1024,4507.8189,0.4002,18.3289,9.2433,74.3287,23.3287,15.5439
27,51,11391.3575,5115.9255,0.3743,17.255,9.227,74.2844,23.2844,16.0041
27.5,51,10605.4933,5767.3945,0.3502,16.2472,9.2106,74.2471,23.2471,16.4641
28,51,9838.9464,6463.2617,0.3277,15.3014,9.1939,74.2167,23.2167,16.9241
18,52,28263.8469,120.0488,1.2597,51.7932,9.6473,76.3373,24.3373,7.9962
18.5,52,27222.7331,166.6241,1.1736,48.5845,9.635,76.1405,24.1405,8.4586
19,52,26179.6761,227.6904,1.0936,45.5845,9.6225,75.9555,23.9555,8.9209
19.5,52,25137.0014,305.9916,1.0193,42.7792,9.6097,75.7817,23.7817,9.3831
20,52,24096.1478,403.3947,0.9503,40.1551,9.5966,75.6188,23.6188,9.8453
20.5,52,23059.1516,522.3738,0.8862,37.7002,9.5833,75.4662,23.4662,10.3074
21,52,22028.3543,665.7178,0.8266,35.4029,9.5697,75.3236,23.3236,10.7694
21.5,52,21008.3245,838.4536,0.7712,33.2527,9.5558,75.1907,23.1907,11.2314
22,52,20002.6111,1044.5979,0.7196,31.2398,9.5417,75.0671,23.0671,11.6933
22.5,52,19014.2947,1287.7104,0.6717,29.3549,9.5273,74.9524,22.9524,12.1551
23,52,18046.166,1571.0713,0.6271,27.5895,9.5126,74.8465,22.8465,12.6169
23.5,52,17100.8106,1897.7669,0.5856,25.9357,9.4977,74.749,22.749,13.0786
24,52,16176.5816,2266.6624,0.547,24.3861,9.4826,74.6597,22.6597,13.5402
24.5,52,15272.4041,2677.2069,0.511,22.9338,9.4672,74.5784,22.5784,14.0018
25,52,14388.0212,3129.6787,0.4776,21.5725,9.4516,74.5048,22.5048,14.4633
25.5,52,13526.1041,3627.297,0.4464,20.2961,9.4358,74.4387,22.4387,14.9247
26,52,12683.735,4167.7041,0.4173,19.0992,9.4197,74.3801,22.3801,15.3861
26.5,52,11862.284,4752.8431,0.3902,17.9765,9.4034,74.3287,22.3287,15.8474
27,52,11060.921,5382.4699,0.365,16.9232,9.3869,74.2844,22.2844,16.3086
27.5,52,10278.7681,6056.3059,0.3415,15.9348,9.3702,74.2471,22.2471,16.7698
28,52,9515.9031,6775.0421,0.3195,15.0071,9.3532,74.2167,22.2167,17.2309
18,53,27938.8512,133.077,1.2289,50.8159,9.8142,76.3373,23.3373,8.2767
18.5,53,26891.5854,184.6504,1.1448,47.6678,9.8017,76.1405,23.1405,8.7401
19,53,25842.2415,250.9109,1.0668,44.7245,9.7889,75.9555,22.9555,9.2035
19.5,53,24794.2218,335.6881,0.9944,41.972,9.7758,75.7817,22.7817,9.6668
20,53,23748.9358,440.8289,0.927,39.3975,9.7625,75.6188,22.6188,10.13
20.5,53,22707.7598,568.1565,0.8645,36.9889,9.7489,75.4662,22.4662,10.5931
21,53,21674.5035,721.9382,0.8064,34.7349,9.735,75.3236,22.3236,11.0562
21.5,53,20653.0432,906.5178,0.7523,32.6253,9.7208,75.1907,22.1907,11.5192
22,53,19648.0065,1127.0014,0.702,30.6503,9.7064,75.0671,22.0671,11.9822
22.5,53,18661.2741,1385.7589,0.6553,28.801,9.6918,74.9524,21.9524,12.4451
23,53,17695.7447,1686.1893,0.6118,27.0689,9.6768,74.8465,21.8465,12.9079
23.5,53,16753.1119,2030.4978,0.5713,25.4463,9.6617,74.749,21.749,13.3706
24,53,15831.8017,2417.6339,0.5336,23.926,9.6463,74.6597,21.6597,13.8333
24.5,53,14929.6224,2845.9412,0.4985,22.5011,9.6306,74.5784,21.5784,14.2959
25,53,14049.3357,3318.7287,0.4659,21.1655,9.6147,74.5048,21.5048,14.7585
25.5,53,13190.2663,3835.881,0.4355,19.9132,9.5986,74.4387,21.4387,15.221
26,53,12351.569,4397.1256,0.4071,18.7388,9.5822,74.3801,21.3801,15.6834
26.5,53,11534.0829,5003.8876,0.3807,17.6373,9.5657,74.3287,21.3287,16.1458
27,53,10736.1192,5655.0773,0.3561,16.6039,9.5489,74.2844,21.2844,16.6081
27.5,53,9957.8867,6351.5162,0.3331,15.6341,9.5318,74.2471,21.2471,17.0703
28,53,9199.4649,7093.911,0.3117,14.724,9.5146,74.2167,21.2167,17.5324
18,54,27614.9219,147.3109,1.1994,49.8749,9.9834,76.3373,22.3373,8.5526
18.5,54,26561.4717,203.8593,1.1174,46.785,9.9706,76.1405,22.1405,9.0171
19,54,25506.6153,276.0981,1.0412,43.8962,9.9576,75.9555,21.9555,9.4814
19.5,54,24453.4488,367.56,0.9705,41.1948,9.9442,75.7817,21.7817,9.9458
20,54,23403.54,480.2589,0.9048,38.6679,9.9306,75.6188,21.6188,10.41
